Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Duration,Injury_Severity,Avg_Rating_Before_Injury,Avg_Rating_After_Return,Performance_Impact,Form_Before_Injury,Form_After_Return,Form_Impact,Total_Injuries,Unique_Injury_Types,Avg_Injury_Duration,Total_Days_Injured,Injury_Duration_Std,Severe_Injuries,Injury_Frequency,Pre_Injury_GD_Trend,Pre_Injury_GD_Volatility,Team_Performance_During_Absence,Recent_Opposition_Strength,Age_Risk_Score,Position_Risk_Score,History_Risk_Score,Overall_Risk_Score,Club
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,77,Knee injury,2019-11-09,2020-01-13,draw,Wolves,0.0,7.4,win,West Ham,1.0,6.1,win,Bournemouth,1.0,5.8,lose,Aston Villa,-2.0,draw,Man City,0.0,win,Sheffield,2.0,win,Chelsea,1,7.1,draw,Everton,0,6.2,draw,Norwich City,0,6.7,65.0,Severe,6.433333333333334,6.666666666666667,0.2333333333333334,2.333333333333333,1.6666666666666667,-0.6666666666666667,7,7,32.142857142857146,225.0,26.200690648839597,1,11.305309734513274,0.6666666666666666,0.5773502691896258,0.0,3,0.4,0.8,0.6491592920353982,0.6245796460176991,Newcastle United
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Knee injury,2019-10-20,2019-11-24,lose,Leicester,-5.0,5.8,win,Man United,1.0,7.5,lose,Chelsea,-1.0,6.1,draw,Wolves,0.0,win,West Ham,1.0,win,Bournemouth,1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,35.0,Major,6.466666666666666,,,1.0,,,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,-1.6666666666666667,3.055050463303893,0.6666666666666666,3,0.5333333333333333,0.8,0.7195348837209303,0.6931007751937985,Newcastle United
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Hamstring strain,2020-01-02,2020-01-17,lose,Man United,-3.0,4.9,lose,Everton,-1.0,7.7,lose,Leicester,-3.0,5.6,draw,Wolves,0.0,N.A.,N.A.,,N.A.,N.A.,,draw,Everton,0,6.0,lose,Arsenal,-4,,lose,Crystal Palace,-1,6.5,15.0,Moderate,6.066666666666667,6.25,0.1833333333333326,0.0,0.3333333333333333,0.3333333333333333,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,-2.333333333333333,1.1547005383792517,0.0,4,0.5333333333333333,0.8,0.7195348837209303,0.6931007751937985,Newcastle United
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Shoulder injury,2020-07-16,2020-09-28,lose,Man City,-5.0,5.2,lose,Watford,-1.0,6.3,lose,Tottenham,-2.0,6.3,draw,Brighton,0.0,lose,Liverpool,-2.0,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,74.0,Severe,5.933333333333334,,,0.0,,,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,-2.6666666666666665,2.081665999466133,-1.0,5,0.5333333333333333,0.8,0.7195348837209303,0.6931007751937985,Newcastle United
Paul Dummett,Newcastle,Center Back,28,2019/20,75,Groin injury,2019-12-22,2020-01-10,win,Southampton,2.0,5.8,lose,Burnley,-1.0,6.0,win,Crystal Palace,1.0,6.2,lose,Man United,-3.0,lose,Everton,-1.0,lose,Leicester,-3.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,19.0,Moderate,6.0,,,2.0,,,2,2,88.0,176.0,97.58073580374356,1,4.124293785310734,0.6666666666666666,1.5275252316519463,-2.333333333333333,2,0.5333333333333333,0.8,0.233728813559322,0.4501977401129944,Newcastle United
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Calf injury,2019-12-09,2020-01-10,draw,Man City,0.0,6.0,win,Sheffield,2.0,6.4,win,Southampton,1.0,6.4,lose,Burnley,-1.0,win,Crystal Palace,1.0,lose,Man United,-3.0,draw,Wolves,0,6.5,win,Chelsea,1,6.9,draw,Everton,0,6.3,32.0,Major,6.266666666666667,6.566666666666666,0.2999999999999998,2.333333333333333,1.6666666666666667,-0.6666666666666667,4,3,65.75,263.0,97.38711413734366,1,5.53030303030303,1.0,1.0,-1.0,5,0.6666666666666666,0.8,0.3559090909090909,0.5446212121212122,Newcastle United
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Ankle injury,2020-02-16,2020-09-14,draw,Everton,0.0,6.3,draw,Norwich City,0.0,7.0,lose,Arsenal,-4.0,5.6,lose,Crystal Palace,-1.0,draw,Burnley,0.0,win,Southampton,1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,211.0,Severe,6.3,,,0.6666666666666666,,,4,3,65.75,263.0,97.38711413734366,1,5.53030303030303,-1.3333333333333333,2.309401076758504,0.0,2,0.6666666666666666,0.8,0.3559090909090909,0.5446212121212122,Newcastle United
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,2019-09-22,2019-10-05,draw,Watford,0.0,6.7,lose,Liverpool,-2.0,6.5,draw,Brighton,0.0,6.3,lose,Leicester,-5.0,N.A.,N.A.,,N.A.,N.A.,,win,Man United,1,7.7,lose,Chelsea,-1,6.2,draw,Wolves,0,6.5,13.0,Moderate,6.5,6.8,0.2999999999999998,0.6666666666666666,1.3333333333333333,0.6666666666666666,3,2,89.66666666666667,269.0,135.39694728217964,1,4.055555555555555,-0.6666666666666666,1.1547005383792517,-5.0,2,0.4,0.7,0.2716666666666666,0.4108333333333334,Eintracht Frankfurt
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,2019-12-15,2019-12-25,win,Sheffield,2.0,6.0,win,Southampton,-1.0,5.8,lose,Burnley,-1.0,6.2,win,Crystal Palace,1.0,N.A.,N.A.,,N.A.,N.A.,,lose,Man United,-3,6.0,lose,Everton,-1,6.8,lose,Leicester,-3,5.8,10.0,Moderate,6.0,6.2,0.2000000000000001,2.0,0.0,-2.0,3,2,89.66666666666667,269.0,135.39694728217964,1,4.055555555555555,0.0,1.7320508075688772,1.0,1,0.4,0.7,0.2716666666666666,0.4108333333333334,Eintracht Frankfurt
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Cruciate ligament tear,2020-01-18,2020-09-20,lose,Leicester,-3.0,5.8,draw,Wolves,0.0,6.3,win,Chelsea,1.0,6.1,draw,Everton,0.0,draw,Norwich City,0.0,lose,Arsenal,-4.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,246.0,Severe,6.066666666666666,,,1.3333333333333333,,,3,2,89.66666666666667,269.0,135.39694728217964,1,4.055555555555555,-0.6666666666666666,2.081665999466133,-1.3333333333333333,3,0.4,0.7,0.2716666666666666,0.4108333333333334,Eintracht Frankfurt
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74,Groin problems,2019-04-28,2019-09-28,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0.0,lose,Leicester,-5,5.9,win,Man United,1,6.7,lose,Chelsea,-1,6.2,153.0,Severe,,6.266666666666667,,,1.0,,3,3,61.333333333333336,184.0,79.4250170496257,1,5.918918918918919,,,-0.6666666666666666,2,0.4,0.7,0.3275675675675676,0.4387837837837838,Newcastle United
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74,Hip injury,2019-11-27,2019-12-10,win,West Ham,1.0,5.6,win,Bournemouth,1.0,7.3,lose,Aston Villa,-2.0,5.6,draw,Man City,0.0,win,Sheffield,2.0,win,Southampton,1.0,N.A.,N.A.,N.A.,,lose,Man United,-3,5.7,lose,Everton,-1,5.9,13.0,Moderate,6.166666666666667,5.800000000000001,-0.3666666666666662,2.0,0.0,-2.0,3,3,61.333333333333336,184.0,79.4250170496257,1,5.918918918918919,0.0,1.7320508075688772,1.0,3,0.4,0.7,0.3275675675675676,0.4387837837837838,Newcastle United
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74,Hand injury,2020-01-05,2020-01-23,lose,Man United,-3.0,5.9,lose,Everton,-1.0,5.7,lose,Leicester,-3.0,5.7,draw,Wolves,0.0,win,Chelsea,1.0,draw,Everton,0.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,18.0,Moderate,5.766666666666667,,,0.0,,,3,3,61.333333333333336,184.0,79.4250170496257,1,5.918918918918919,-2.333333333333333,1.1547005383792517,0.3333333333333333,4,0.4,0.7,0.3275675675675676,0.4387837837837838,Newcastle United
Emil Krafth,Newcastle,Right Back,25,2019/20,75,Ankle injury,2020-01-21,2020-06-20,win,Chelsea,1.0,6.6,draw,Everton,0.0,5.7,N.A.,N.A.,,,draw,Norwich City,0.0,lose,Arsenal,-4.0,lose,Crystal Palace,-1.0,win,Bournemouth,3,6.2,draw,West Ham,0,6.3,N.A.,N.A.,N.A.,,151.0,Severe,6.15,6.25,0.0999999999999996,2.0,2.0,0.0,2,1,101.5,203.0,70.0035713374682,1,3.57843137254902,0.5,0.7071067811865476,-1.6666666666666667,4,0.3333333333333333,0.7,0.2173529411764706,0.3670098039215686,SC Amiens
Emil Krafth,Newcastle,Right Back,25,2019/20,75,Ankle injury,2020-07-21,2020-09-11,lose,Watford,-1.0,6.0,lose,Tottenham,-2.0,6.1,draw,Brighton,0.0,6.6,lose,Liverpool,-2.0,N.A.,N.A.,,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,52.0,Major,6.233333333333333,,,0.3333333333333333,,,2,1,101.5,203.0,70.0035713374682,1,3.57843137254902,-1.0,1.0,-2.0,2,0.3333333333333333,0.7,0.2173529411764706,0.3670098039215686,SC Amiens
Javier Manquillo,Newcastle,Right Back,26,2019/20,75,Hamstring strain,2020-01-02,2020-02-28,lose,Man United,-3.0,6.1,lose,Leicester,-3.0,5.2,N.A.,N.A.,,,draw,Wolves,0.0,win,Chelsea,1.0,draw,Everton,0.0,draw,Burnley,0,6.1,win,Southampton,1,6.4,win,Sheffield,3,6.8,57.0,Major,5.65,6.433333333333334,0.7833333333333332,0.0,2.333333333333333,2.333333333333333,2,2,44.0,88.0,18.384776310850235,0,8.202247191011235,-3.0,0.0,0.3333333333333333,4,0.4,0.7,0.326067415730337,0.4380337078651685,Newcastle United
Isaac Hayden,Newcastle,Defensive Midfielder,25,2019/20,78,Hamstring strain,2020-07-05,2020-07-25,draw,Aston Villa,0.0,6.3,win,Bournemouth,3.0,6.1,draw,West Ham,0.0,5.9,lose,Man City,-5.0,lose,Watford,-1.0,lose,Tottenham,-2.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,20.0,Moderate,6.099999999999999,,,1.6666666666666667,,,3,3,36.333333333333336,109.0,31.817186131607137,1,9.954545454545451,1.0,1.7320508075688772,-2.6666666666666665,2,0.3333333333333333,0.6,0.4486363636363636,0.4576515151515151,Newcastle United
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74,Ankle injury,2019-09-01,2019-09-28,lose,Norwich City,-2.0,6.5,win,Tottenham,1.0,6.0,draw,Watford,0.0,7.1,draw,Brighton,0.0,N.A.,N.A.,,N.A.,N.A.,,lose,Leicester,-5,5.9,win,Man United,1,7.3,lose,Chelsea,-1,6.2,27.0,Major,6.533333333333334,6.466666666666666,-0.0666666666666682,1.3333333333333333,1.0,-0.3333333333333332,4,3,25.25,101.0,2.0615528128088303,0,14.31372549019608,-0.3333333333333333,1.5275252316519463,0.0,2,0.1333333333333333,0.5,0.5894117647058824,0.4530392156862745,Newcastle United
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74,Hamstring injury,2020-07-01,2020-07-25,win,Southampton,1.0,6.0,win,Bournemouth,3.0,7.0,N.A.,N.A.,,,draw,West Ham,0.0,lose,Man City,-5.0,lose,Watford,-1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,24.0,Major,6.5,,,3.0,,,4,3,25.25,101.0,2.0615528128088303,0,14.31372549019608,2.0,1.4142135623730951,-2.0,2,0.1333333333333333,0.5,0.5894117647058824,0.4530392156862745,Newcastle United
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Hamstring injury,2019-09-22,2019-10-05,lose,Liverpool,-2.0,5.9,draw,Brighton,0.0,6.6,N.A.,N.A.,,,lose,Leicester,-5.0,N.A.,N.A.,,N.A.,N.A.,,draw,Wolves,0,7.3,win,West Ham,1,8.0,N.A.,N.A.,N.A.,,13.0,Moderate,6.25,7.65,1.4000000000000004,0.5,2.0,1.5,9,6,31.11111111111111,280.0,23.997106307034414,2,11.690391459074734,-1.0,1.4142135623730951,-5.0,5,0.5333333333333333,0.5,0.770711743772242,0.6436892052194543,Newcastle United
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Calf injury,2019-12-09,2019-12-20,draw,Man City,0.0,7.5,win,Sheffield,2.0,7.6,win,Southampton,1.0,7.4,lose,Burnley,-1.0,N.A.,N.A.,,N.A.,N.A.,,win,Crystal Palace,1,6.6,lose,Everton,-1,6.0,lose,Leicester,-3,6.0,11.0,Moderate,7.5,6.2,-1.2999999999999998,2.333333333333333,1.0,-1.3333333333333337,9,6,31.11111111111111,280.0,23.997106307034414,2,11.690391459074734,1.0,1.0,-1.0,5,0.5333333333333333,0.5,0.770711743772242,0.6436892052194543,Newcastle United
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Hamstring strain,2020-01-18,2020-02-28,lose,Leicester,-3.0,6.0,win,Chelsea,1.0,6.9,N.A.,N.A.,,,draw,Norwich City,0.0,lose,Arsenal,-4.0,lose,Crystal Palace,-1.0,draw,Burnley,0,6.4,win,Southampton,1,7.6,win,Sheffield,3,6.3,41.0,Major,6.45,6.766666666666667,0.3166666666666664,1.5,2.333333333333333,0.8333333333333335,9,6,31.11111111111111,280.0,23.997106307034414,2,11.690391459074734,-1.0,2.8284271247461903,-1.6666666666666667,3,0.5333333333333333,0.5,0.770711743772242,0.6436892052194543,Newcastle United
Matt Ritchie,Newcastle,Right Winger,30,2019/20,76,Ankle injury,2019-08-28,2020-01-03,lose,Arsenal,1.0,6.0,lose,Norwich City,-2.0,7.0,win,Tottenham,1.0,6.9,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0.0,win,Chelsea,1,6.4,draw,Everton,0,6.0,draw,Norwich City,0,7.4,128.0,Severe,6.633333333333333,6.6000000000000005,-0.0333333333333323,1.0,1.6666666666666667,0.6666666666666667,2,2,93.5,187.0,48.79036790187178,1,3.882978723404255,0.0,1.7320508075688772,-0.6666666666666666,4,0.6666666666666666,,0.2264893617021276,,Newcastle United
Allan Saint-Maximin,Newcastle,Left Winger,23,2019/20,79,Hamstring strain,2019-09-22,2019-09-28,lose,Arsenal,-1.0,6.5,N.A.,N.A.,,,N.A.,N.A.,,,lose,Norwich City,-2.0,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0,6.6,win,Man United,1,5.8,lose,Chelsea,-1,5.9,6.0,Minor,6.5,6.099999999999999,-0.4000000000000012,0.0,1.3333333333333333,1.3333333333333333,8,7,27.0,216.0,18.04755622554715,1,13.45622119815668,-1.0,,-1.3333333333333333,4,0.2,0.5,0.7536866359447004,0.5518433179723502,OGC Nice
Miguel Almirón,Newcastle,Right Winger,26,2019/20,76,Hamstring injury,2019-12-09,2019-12-20,draw,Man City,0.0,6.8,win,Sheffield,2.0,6.1,win,Southampton,1.0,6.2,lose,Burnley,-1.0,N.A.,N.A.,,N.A.,N.A.,,win,Crystal Palace,1,8.6,lose,Man United,-3,5.9,lose,Everton,-1,5.7,11.0,Moderate,6.366666666666666,6.733333333333333,0.3666666666666671,2.333333333333333,1.0,-1.3333333333333337,4,3,22.75,91.0,11.4418821295566,0,15.869565217391305,1.0,1.0,-1.0,5,0.4,0.5,0.6360869565217392,0.5430434782608696,Newcastle United
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75,Calf injury,2019-08-08,2019-10-05,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,lose,Arsenal,-1.0,lose,Norwich City,-2.0,win,Tottenham,1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,58.0,Major,,,,,,,3,3,54.333333333333336,163.0,44.613152021946775,1,6.676829268292683,,,-0.6666666666666666,2,0.6666666666666666,0.6,0.3503048780487804,0.4918191056910569,
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75,Hamstring strain,2020-01-02,2020-01-10,lose,Man United,-3.0,5.8,lose,Everton,-1.0,5.7,draw,Wolves,0.0,6.3,win,Chelsea,1.0,draw,Everton,0.0,draw,Norwich City,0.0,lose,Crystal Palace,-1,5.5,draw,Burnley,0,5.6,win,Southampton,1,5.9,8.0,Moderate,5.933333333333334,5.666666666666667,-0.2666666666666666,0.3333333333333333,1.3333333333333333,1.0,3,3,54.333333333333336,163.0,44.613152021946775,1,6.676829268292683,-1.3333333333333333,1.5275252316519468,0.3333333333333333,4,0.6666666666666666,0.6,0.3503048780487804,0.4918191056910569,
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Groin injury,2019-10-20,2019-11-01,lose,Leicester,-5.0,6.0,win,Man United,1.0,5.7,lose,Chelsea,-1.0,5.7,draw,Wolves,0.0,N.A.,N.A.,,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,lose,Aston Villa,-2,6.3,12.0,Moderate,5.8,6.3,0.5,1.0,0.0,-1.0,4,4,45.5,182.0,71.03285624742023,1,7.978142076502732,-1.6666666666666667,3.055050463303893,0.0,3,0.7333333333333333,0.6,0.4293442622950819,0.5480054644808743,West Ham United
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Bruised ribs,2019-11-26,2019-12-03,N.A.,N.A.,,,N.A.,N.A.,,,lose,Aston Villa,-2.0,6.3,draw,Man City,0.0,N.A.,N.A.,,N.A.,N.A.,,win,Sheffield,2,6.8,win,Southampton,1,6.7,lose,Burnley,-1,5.8,7.0,Minor,6.3,6.433333333333334,0.1333333333333337,0.0,2.0,2.0,4,4,45.5,182.0,71.03285624742023,1,7.978142076502732,-2.0,,0.0,2,0.7333333333333333,0.6,0.4293442622950819,0.5480054644808743,West Ham United
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Knock,2020-01-15,2020-06-15,N.A.,N.A.,,,N.A.,N.A.,,,draw,Wolves,0.0,5.0,win,Chelsea,1.0,draw,Everton,0.0,draw,Norwich City,0.0,win,Sheffield,3,5.0,draw,Aston Villa,0,6.4,win,Bournemouth,3,6.4,152.0,Severe,5.0,5.933333333333334,0.9333333333333336,1.0,2.333333333333333,1.3333333333333337,4,4,45.5,182.0,71.03285624742023,1,7.978142076502732,0.0,,0.3333333333333333,2,0.7333333333333333,0.6,0.4293442622950819,0.5480054644808743,West Ham United
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Muscle injury,2020-07-06,2020-07-17,draw,Aston Villa,0.0,6.4,win,Bournemouth,3.0,6.4,N.A.,N.A.,,,lose,Man City,-5.0,lose,Watford,-1.0,lose,Tottenham,-2.0,draw,Brighton,0,5.7,lose,Liverpool,-2,5.1,N.A.,N.A.,N.A.,,11.0,Moderate,6.4,5.4,-1.0,2.0,0.5,-1.5,4,4,45.5,182.0,71.03285624742023,1,7.978142076502732,1.5,2.1213203435596424,-2.6666666666666665,2,0.7333333333333333,0.6,0.4293442622950819,0.5480054644808743,West Ham United
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Hip injury,2020-09-28,2020-10-16,win,West Ham,2.0,6.6,lose,Brighton,-3.0,5.6,draw,Tottenham,0.0,6.3,win,Burnley,2.0,N.A.,N.A.,,N.A.,N.A.,,lose,Man United,3,5.3,draw,Wolves,0,6.4,win,Everton,1,6.4,18.0,Moderate,6.166666666666667,6.033333333333334,-0.1333333333333328,1.3333333333333333,1.3333333333333333,0.0,7,7,32.142857142857146,225.0,26.200690648839597,1,11.305309734513274,-0.3333333333333333,2.516611478423584,2.0,3,0.4666666666666667,0.8,0.6491592920353982,0.6412463126843657,Newcastle United
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Muscle fatigue,2020-11-22,2021-01-17,win,Everton,1.0,6.4,lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,6.3,win,Crystal Palace,2.0,win,West Brom,1.0,lose,Leeds,-3.0,lose,Arsenal,-3,5.6,lose,Aston Villa,-2,5.6,lose,Leeds,-1,6.1,56.0,Major,6.266666666666667,5.766666666666666,-0.5000000000000009,1.0,0.0,-1.0,7,7,32.142857142857146,225.0,26.200690648839597,1,11.305309734513274,-1.0,1.7320508075688772,0.0,2,0.4666666666666667,0.8,0.6491592920353982,0.6412463126843657,Newcastle United
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Hamstring strain,2021-01-31,2021-02-14,lose,Aston Villa,-2.0,5.6,lose,Leeds,-1.0,6.1,win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,win,Southampton,1.0,N.A.,N.A.,,lose,Chelsea,-2,7.1,lose,Man United,-2,5.3,draw,Wolves,0,7.6,14.0,Moderate,5.966666666666666,6.666666666666667,0.7000000000000011,1.0,0.3333333333333333,-0.6666666666666667,7,7,32.142857142857146,225.0,26.200690648839597,1,11.305309734513274,-0.3333333333333333,2.081665999466133,0.0,2,0.4666666666666667,0.8,0.6491592920353982,0.6412463126843657,Newcastle United
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Foot injury,2021-04-04,2021-06-01,draw,Aston Villa,0.0,7.4,lose,Brighton,-3.0,5.8,draw,Tottenham,-3.0,5.9,win,Burnley,1.0,win,West Ham,1.0,draw,Liverpool,0.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,58.0,Major,6.366666666666667,,,0.6666666666666666,,,7,7,32.142857142857146,225.0,26.200690648839597,1,11.305309734513274,-2.0,1.7320508075688772,0.6666666666666666,2,0.4666666666666667,0.8,0.6491592920353982,0.6412463126843657,Newcastle United
Fabian Schär,Newcastle,Center Back,29,2020/21,79,Virus,2020-11-29,2020-12-25,lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,5.8,N.A.,N.A.,,,win,West Brom,1.0,lose,Leeds,-3.0,draw,Fulham,0.0,lose,Man City,-2,6.6,draw,Liverpool,0,7.6,lose,Leicester,-1,6.2,26.0,Major,5.949999999999999,6.8,0.8500000000000005,0.0,0.3333333333333333,0.3333333333333333,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,-2.0,0.0,-0.6666666666666666,2,0.6,0.8,0.7195348837209303,0.7097674418604651,Newcastle United
Fabian Schär,Newcastle,Center Back,29,2020/21,79,Knee injury,2021-02-07,2021-04-25,win,Everton,2.0,7.0,lose,Crystal Palace,-1.0,6.5,win,Southampton,1.0,5.4,lose,Chelsea,-2.0,lose,Man United,-2.0,draw,Wolves,0.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,77.0,Severe,6.3,,,2.0,,,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,0.6666666666666666,1.5275252316519463,-1.3333333333333333,2,0.6,0.8,0.7195348837209303,0.7097674418604651,Newcastle United
Ciaran Clark,Newcastle,Center Back,31,2020/21,76,Calf injury,2021-01-19,2021-01-29,lose,Leicester,-1.0,6.4,lose,Sheffield,-1.0,6.6,lose,Arsenal,-3.0,5.4,lose,Aston Villa,-2.0,lose,Leeds,-1.0,N.A.,N.A.,,win,Everton,2,6.2,lose,Crystal Palace,-1,6.5,N.A.,N.A.,N.A.,,10.0,Moderate,6.133333333333333,6.35,0.2166666666666667,0.0,1.5,1.5,4,3,65.75,263.0,97.38711413734366,1,5.53030303030303,-1.6666666666666667,1.1547005383792517,-1.5,3,0.7333333333333333,0.8,0.3559090909090909,0.5612878787878788,Newcastle United
Ciaran Clark,Newcastle,Center Back,31,2020/21,76,Knock,2021-02-04,2021-02-14,win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,6.5,N.A.,N.A.,,,win,Southampton,1.0,N.A.,N.A.,,N.A.,N.A.,,lose,Chelsea,-2,6.1,lose,Man United,-2,6.0,draw,Wolves,0,6.3,10.0,Moderate,6.35,6.133333333333333,-0.2166666666666667,1.5,0.3333333333333333,-1.1666666666666667,4,3,65.75,263.0,97.38711413734366,1,5.53030303030303,0.5,2.1213203435596424,1.0,2,0.7333333333333333,0.8,0.3559090909090909,0.5612878787878788,Newcastle United
Javier Manquillo,Newcastle,Right Back,27,2020/21,75,Ankle injury,2021-02-07,2021-03-10,win,Everton,2.0,6.5,lose,Crystal Palace,-1.0,6.2,win,Southampton,1.0,6.1,lose,Chelsea,-2.0,lose,Man United,-2.0,draw,Wolves,0.0,N.A.,N.A.,N.A.,,lose,Brighton,-3,6.2,N.A.,N.A.,N.A.,,31.0,Major,6.266666666666666,6.2,-0.0666666666666655,2.0,0.0,-2.0,2,2,44.0,88.0,18.384776310850235,0,8.202247191011235,0.6666666666666666,1.5275252316519463,-1.3333333333333333,2,0.4666666666666667,0.7,0.326067415730337,0.4547003745318351,Newcastle United
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,78,Coronavirus,2020-11-25,2020-12-11,N.A.,N.A.,,,lose,Chelsea,-2.0,6.3,N.A.,N.A.,,,win,Crystal Palace,2.0,N.A.,N.A.,,N.A.,N.A.,,win,West Brom,1,6.9,lose,Leeds,-3,5.9,draw,Fulham,0,7.2,16.0,Moderate,6.3,6.666666666666667,0.3666666666666671,0.0,1.3333333333333333,1.3333333333333333,3,3,36.333333333333336,109.0,31.817186131607137,1,9.954545454545451,-2.0,,2.0,2,0.4,0.6,0.4486363636363636,0.4743181818181818,Newcastle United
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,87,Knee injury,2021-03-20,2021-06-01,draw,West Brom,0.0,6.7,draw,Aston Villa,0.0,6.9,lose,Brighton,-3.0,6.2,draw,Tottenham,0.0,win,Burnley,2.0,win,West Ham,1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,73.0,Severe,6.6000000000000005,,,0.6666666666666666,,,3,3,36.333333333333336,109.0,31.817186131607137,1,9.954545454545451,-1.0,1.7320508075688772,1.0,2,0.4,0.6,0.4486363636363636,0.4743181818181818,Newcastle United
