Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Duration,Injury_Severity,Avg_Rating_Before_Injury,Avg_Rating_After_Return,Performance_Impact,Form_Before_Injury,Form_After_Return,Form_Impact,Total_Injuries,Unique_Injury_Types,Avg_Injury_Duration,Total_Days_Injured,Injury_Duration_Std,Severe_Injuries,Injury_Frequency,Pre_Injury_GD_Trend,Pre_Injury_GD_Volatility,Team_Performance_During_Absence,Recent_Opposition_Strength,Age_Risk_Score,Position_Risk_Score,History_Risk_Score,Overall_Risk_Score,Club
Jay Rodríguez,Burnley,Center Forward,31,2020/21,75,ankle injury,2020-09-23,2020-10-18,lose,Leicester,-2.0,6.0,N.A.,N.A.,,,N.A.,N.A.,,,lose,Southampton,-1.0,lose,Newcastle,-2.0,N.A.,N.A.,,lose,Chelsea,-3,5.7,draw,Brighton,0,5.4,win,Crystal Palace,1,6.6,25.0,Major,6.0,5.900000000000001,-0.0999999999999987,0.0,1.3333333333333333,1.3333333333333333,5,5,32.0,160.0,38.51623034514152,1,11.335403726708076,-2.0,,-1.5,3,0.7333333333333333,0.6,0.5700621118012422,0.6183643892339544,
Jay Rodríguez,Burnley,Center Forward,32,2020/21,75,knee injury,2020-12-28,2021-01-11,lose,Leeds,-1.0,6.0,draw,Aston Villa,0.0,5.1,win,Arsenal,1.0,5.6,win,Sheffield,1.0,N.A.,N.A.,,N.A.,N.A.,,lose,West Ham,-1,6.1,win,Aston Villa,1,5.7,lose,Chelsea,-2,5.6,14.0,Moderate,5.566666666666666,5.8,0.2333333333333334,1.3333333333333333,1.0,-0.3333333333333332,5,5,32.0,160.0,38.51623034514152,1,11.335403726708076,0.0,1.0,1.0,2,0.8,0.6,0.5700621118012422,0.6350310559006211,
Jay Rodríguez,Burnley,Center Forward,33,2021/22,74,hamstring injury,2020-04-29,2020-08-07,win,Wolves,1.0,5.5,win,Southampton,2.0,6.1,draw,West Ham,0.0,5.6,win,Watford,1.0,lose,Aston Villa,-2.0,lose,Tottenham,-1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,100.0,Severe,5.733333333333333,,,2.333333333333333,,,5,5,32.0,160.0,38.51623034514152,1,11.335403726708076,1.0,1.0,-0.6666666666666666,3,0.8666666666666667,0.6,0.5700621118012422,0.6516977225672878,
Matej Vydra,Burnley,Center Forward,27,2019/20,73,hip injury,2019-11-03,2019-12-03,lose,Chelsea,-2.0,5.7,draw,Brighton,0.0,6.0,N.A.,N.A.,,,win,West Ham,3.0,win,Watford,3.0,lose,Crystal Palace,-2.0,lose,Tottenham,-5,5.3,lose,Chelsea,-3,5.1,win,Southampton,1,7.1,30.0,Major,5.85,5.833333333333333,-0.0166666666666666,0.5,1.0,0.5,4,4,-69.75,-279.0,181.74409664874037,0,-5.251798561151079,-1.0,1.4142135623730951,1.3333333333333333,4,0.4666666666666667,0.6,0.0024460431654676,0.2678896882494004,Burnley FC
Matej Vydra,Burnley,Center Forward,28,2020/21,74,back injury,2020-01-11,2020-12-18,draw,Aston Villa,0.0,6.0,win,Arsenal,1.0,6.0,lose,Southampton,-1.0,5.3,win,Wolves,1.0,lose,Leeds,-1.0,win,Sheffield,1.0,lose,West Ham,-1,5.2,win,Aston Villa,1,5.0,lose,Chelsea,-2,5.2,342.0,,5.766666666666667,5.133333333333333,-0.6333333333333337,1.3333333333333333,1.0,-0.3333333333333332,4,4,-69.75,-279.0,181.74409664874037,0,-5.251798561151079,0.0,1.0,0.3333333333333333,2,0.5333333333333333,0.6,0.0024460431654676,0.2845563549160671,Burnley FC
Matej Vydra,Burnley,Center Forward,28,2020/21,74,hamstring injury,2021-02-10,2021-02-18,draw,Brighton,0.0,7.0,lose,Man City,-2.0,5.5,lose,Chelsea,-2.0,5.2,win,Crystal Palace,3.0,draw,Fulham,0.0,N.A.,N.A.,,draw,West Brom,0,5.4,lose,Tottenham,-4,5.4,draw,Leicester,0,6.9,8.0,Moderate,5.9,5.900000000000001,1.7763568394002505e-15,0.3333333333333333,0.6666666666666666,0.3333333333333333,4,4,-69.75,-279.0,181.74409664874037,0,-5.251798561151079,-1.3333333333333333,1.1547005383792517,1.5,3,0.5333333333333333,0.6,0.0024460431654676,0.2845563549160671,Burnley FC
Matej Vydra,Burnley,Center Forward,29,2021/22,73,groin surgery and elbow injury,2022-02-03,2022-02-28,draw,Arsenal,0.0,5.5,lose,Man United,-2.0,6.0,draw,West Ham,0.0,6.0,draw,Watford,0.0,draw,Man United,0.0,lose,Liverpool,-1.0,lose,Norwich City,-2,5.0,win,Southampton,2,5.0,win,Wolves,1,7.0,25.0,Major,5.833333333333333,5.666666666666667,-0.166666666666666,0.6666666666666666,2.0,1.3333333333333337,4,4,-69.75,-279.0,181.74409664874037,0,-5.251798561151079,-0.6666666666666666,1.1547005383792517,-0.3333333333333333,4,0.6,0.6,0.0024460431654676,0.3012230215827338,Burnley FC
Dale Stephens,Burnley,Central Midfielder,31,2020/21,74,hamstring injury,2020-11-19,2020-12-13,lose,Chelsea,-3.0,5.6,lose,Newcastle,-2.0,6.0,lose,Southampton,-1.0,6.8,win,Crystal Palace,1.0,lose,Man City,-5.0,draw,Everton,0.0,win,Sheffield,1,6.0,lose,Leeds,-1,6.1,N.A.,N.A.,N.A.,,24.0,Major,6.133333333333333,6.05,-0.083333333333333,0.0,1.5,1.5,2,2,14.0,28.0,14.142135623730953,0,25.17241379310345,-2.0,1.0,-1.3333333333333333,4,0.7333333333333333,0.5,0.8351724137931035,0.725919540229885,Brighton & Hove Albion
Dale Stephens,Burnley,Central Midfielder,31,2020/21,74,knock,2021-02-14,2021-02-18,lose,Man City,-2.0,5.4,N.A.,N.A.,,,N.A.,N.A.,,,draw,Fulham,0.0,N.A.,N.A.,,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,4.0,Minor,5.4,,,0.0,,,2,2,14.0,28.0,14.142135623730953,0,25.17241379310345,-2.0,,0.0,5,0.7333333333333333,0.5,0.8351724137931035,0.725919540229885,Brighton & Hove Albion
Connor Roberts,Burnley,Right Back,26,2021/22,75,infection,2021-12-08,2022-01-09,lose,Newcastle,-1.0,6.0,N.A.,N.A.,,,N.A.,N.A.,,,draw,West Ham,0.0,lose,Man United,-2.0,lose,Leeds,-2.0,draw,Arsenal,0,6.8,draw,Watford,0,7.0,draw,Man United,0,5.9,32.0,Major,6.0,6.566666666666667,0.5666666666666673,0.0,1.0,1.0,1,1,32.0,32.0,,0,11.06060606060606,-1.0,,-1.3333333333333333,3,0.4,0.7,0.3718181818181817,0.4609090909090909,
